
1	2003-01-02	YBR41	권민수	SE96JS	106
2	2003-01-03	YB95J	이강호	SE95MD	73
3	2003-01-04	YB85T	박동희	SE88SD	108
4	2003-01-04	SBBC9	서영수	SE97YS	33
5	2003-01-04	SBKD5	강남영	SE96JS	34
6	2003-01-05	SBKD5	박덕우	SE97AK	81
7	2003-01-06	SBBC9	주지연	SE98JR	95
8	2003-01-06	YBR41	지연학	SE00SD	99
9	2003-01-07	SBBC9	호지명	SE97AK	79
10	2003-01-07	YB854	김동지	SE88SD	62
11	2003-01-08	BJC42	민지환	SE02SC	35
12	2003-01-09	YB854	이진경	SE88SD	81
13	2003-01-10	SBKD5	한승수	SE03BD	94
14	2003-01-10	BJB44	오여령	SE97AK	46
15	2003-01-10	SBBC9	이세현	SE96JS	50
16	2003-01-10	YB854	하나영	SE96JS	56
17	2003-01-10	BJB44	한아름	SE02SC	74
18	2003-01-10	YBR41	이지영	SE96JS	47
19	2003-01-11	YBR41	기여도	SE88SD	118
20	2003-01-12	SBKD5	이한셈	SE97YS	36
21	2003-01-12	SBKD5	강철순	SE95MD	70
22	2003-01-13	YB854	오지명	SE95MD	63
23	2003-01-14	SBY55	우순현	SE96JS	90
24	2003-01-15	YB95J	김지연	SE00SD	120
25	2003-01-16	BJR5G	박수리	SE02SC	36
26	2003-01-16	YBR41	추정은	SE98JR	103
27	2003-01-16	SBKD5	허지혜	SE96JS	100
28	2003-01-16	BJB44	김상두	SE97AK	119
29	2003-01-16	SBBC9	사오정	SE88SD	67
30	2003-01-16	BJR5G	이구철	SE99KN	49
31	2003-01-17	BJR5G	강수옥	SE00SD	81
32	2003-01-18	BJR5G	오철구	SE00SD	112
33	2003-01-18	BJC75	이지현	SE00BB	108
34	2003-01-18	SBBC9	안남현	SE97AK	92
35	2003-01-18	BJB44	김미현	SE97AK	31
36	2003-01-19	YB854	한평수	SE98JR	31
37	2003-01-19	BJC42	판구철	SE97AK	52
38	2003-01-20	SBKD5	호지연	SE03SR	94
39	2003-01-21	SBY55	구봉수	SE88SD	35
40	2003-01-22	YBR41	유지표	SE97YS	80
41	2003-01-22	YBBC5	이덕환	SE96JS	44
42	2003-01-22	BJB44	안치연	SE02SC	70
43	2003-01-22	SBY55	강청기	SE03BD	32
44	2003-01-22	BJR5G	연구현	SE99KN	89
45	2003-01-22	BJB44	사은숙	SE98JR	78
46	2003-01-22	BJR5G	봉하영	SE97AK	50
47	2003-01-22	BJR5G	오지락	SE98JR	62
48	2003-01-23	YBR41	박구형	SE00BB	74
49	2003-01-24	BJC75	구철희	SE03SR	71
50	2003-01-24	BJB44	고두환	SE03BD	59
51	2003-01-25	SBY55	김민환	SE02SC	76
52	2003-01-26	YBR41	한정국	SE00YD	87
53	2003-01-27	SBY55	박소연	SE00YD	55
54	2003-01-28	YB85T	류한우	SE02SC	30
55	2003-01-28	SBY55	고인영	SE95MD	51
56	2003-01-29	SBBC9	나현이	SE00SD	99
57	2003-02-01	YB95J	박철수	SE03SR	114
58	2003-02-02	YB85T	한남수	SE96JS	96
59	2003-02-02	BJC42	우순이	SE03SR	118
60	2003-02-02	SBBC9	안도영	SE98JR	72
61	2003-02-03	YB854	연치국	SE97AK	73
62	2003-02-03	SBY55	호덕환	SE96JS	95
63	2003-02-03	BJB44	차이슬	SE03SR	81
64	2003-02-04	YB95J	하지연	SE98JR	71
65	2003-02-05	BJC75	나현희	SE00SD	120
66	2003-02-05	YBBC5	정금호	SE02SC	93
67	2003-02-06	SBKD5	인정남	SE96JS	52
68	2003-02-06	SBY55	이지형	SE99KN	113
69	2003-02-06	YB854	오지명	SE00YD	82
70	2003-02-07	YB95J	백주영	SE00YD	112
71	2003-02-08	SBKD5	피호성	SE03SR	101
72	2003-02-09	SBY55	마주안	SE00BB	45
73	2003-02-10	YB85T	유구현	SE95MD	97
74	2003-02-10	BJR5G	송치윤	SE88SD	66
75	2003-02-11	YB854	조자룡	SE02SC	120
76	2003-02-12	YBBC5	이유림	SE88SD	79
77	2003-02-13	YB85T	조항승	SE03BD	116
78	2003-02-13	BJB44	전주욱	SE03SR	75
79	2003-02-14	BJR5G	곽장비	SE02SC	66
80	2003-02-14	BJR5G	노지심	SE88SD	76
81	2003-02-14	SBKD5	서정화	SE02SC	72
82	2003-02-15	BJR5G	송혜영	SE97AK	89
83	2003-02-16	YBBC5	이관우	SE03SR	49
84	2003-02-16	BJB44	황비홍	SE99KN	42
85	2003-02-16	SBBC9	제갈량	SE03SR	70
86	2003-02-17	YBBC5	박유비	SE95MD	60
87	2003-02-17	SBY55	이충렬	SE97AK	77
88	2003-02-18	YB95J	최강석	SE00SD	85
89	2003-02-19	YB854	김구완	SE00YD	48
90	2003-02-19	BJC75	윤인수	SE88SD	67
91	2003-02-19	YBBC5	김사원	SE97AK	97
92	2003-02-19	BJR5G	김흥부	SE00BB	53
93	2003-02-20	BJB44	노지심	SE88SD	107
94	2003-02-20	SBKD5	송치윤	SE00BB	85
95	2003-02-21	BJB44	이관우	SE02SC	58
96	2003-02-22	YBR41	이봉주	SE98JR	85
97	2003-02-22	YB85T	이수진	SE99KN	41
98	2003-02-22	YB95J	이양양	SE97YS	55
99	2003-02-23	BJB44	이인상	SE95MD	94
100	2003-02-23	YBR41	이충렬	SE98JR	100
